STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,Source_Station_ID,Source_Country_Name,Source_Station_Name
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1941,,,,,109.0,a,73.0,a,,,,,,,,,,,,,125.0," ,a,0216, ",,,,,,,,,,,,,1547.7," ,a",,,,,,,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1942,,,,,127.0,a,90.0,a,,,,,,,,,,,,,194.1," ,a,0203, ",,,,,,,,,,,,,1686.8," ,a",,,,,,,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1943,3089.2,,3089.2,a,114.0,a,79.0,a,0.0,a,0.0,a,0.0,a,363.0,a,97.0,a,14.2,"a,0617, ",93.2," ,a,0411, ",35.6,"a,1002, ",,,,,,,0.0,0.0,0.0,a,1566.0," ,a",26.8,a,31.0,a,22.6,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1944,,,,,110.0,a,84.0,a,0.0,a,0.0,a,,,,,,,14.9,"a,0714, ",81.8," ,a,1117, ",,,,,,,,,,,,,1559.3," ,a",,,,,22.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1945,,,,,120.0,a,81.0,a,0.0,a,0.0,a,0.0,a,361.0,a,151.0,a,13.2,"a,0716, ",74.4," ,a,0308, ",36.1,"a,0419, ",,,,,,,0.0,0.0,0.0,a,1716.0," ,a",27.3,a,31.8,a,22.9,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1946,,,,,82.0,a,56.0,a,,,,,,,,,,,,,86.6," ,a,0122, ",,,,,,,,,,,,,1024.7," ,a",,,,,,,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1947,3323.7,,3323.7,a,103.0,a,76.0,a,0.0,a,0.0,a,0.0,a,364.0,a,159.0,a,16.8,"a,0611, ",140.2," ,a,0322, ",35.4,"a,1205, ",,,,,,,0.0,0.0,0.0,a,1672.2," ,a",27.6,a,31.9,a,23.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1948,3356.2,,3356.2,a,97.0,a,74.0,a,0.0,a,0.0,a,0.0,a,365.0,a,159.0,a,14.5,"a,0617, ",88.9," ,a,1202, ",36.0,"a,1013, ",,,,,,,0.0,0.0,0.0,a,1303.9," ,a",27.4,a,31.7,a,23.0,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1949,3181.8,,3181.8,a,99.0,a,70.0,a,0.0,a,0.0,a,0.0,a,364.0,a,125.0,a,12.9,"a,0618, ",137.7," ,a,0215, ",35.6,"a,1204, ",,,,,,,0.0,0.0,0.0,a,1680.6," ,a",26.8,a,31.1,a,22.5,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1950,3190.0,,3190.0,a,117.0,a,90.0,a,0.0,a,0.0,a,0.0,a,363.0,a,111.0,a,14.8,"a,0625, ",153.9," ,a,0127, ",34.5,"a,0101, ",,,,,,,0.0,0.0,0.0,a,1809.0," ,a",27.0,a,31.3,a,22.7,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1951,3231.8,,3231.8,a,90.0,a,62.0,a,0.0,a,0.0,a,0.0,a,365.0,a,174.0,a,14.1,"a,0722, ",73.4," ,a,1011, ",37.0,"a,1021, ",,,,,,,0.0,0.0,0.0,a,1152.2," ,a",27.7,a,31.9,a,23.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1952,3479.7,,3479.7,a,82.0,a,53.0,a,0.0,a,0.0,a,0.0,a,366.0,a,219.0,a,15.3,"a,0808, ",69.3," ,a,0118, ",36.8,"a,0924, ",,,,,,,0.0,0.0,0.0,a,1104.4," ,a",27.9,a,32.2,a,23.7,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1953,3353.8,,3353.8,a,96.0,a,68.0,a,0.0,a,0.0,a,0.0,a,365.0,a,152.0,a,13.9,"a,0806, ",97.3," ,a,0203, ",36.3,"a,1115, ",,,,,,,0.0,0.0,0.0,a,1698.3," ,a",27.4,a,31.5,a,23.2,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1954,3340.3,,3340.3,a,124.0,a,92.0,a,0.0,a,0.0,a,0.0,a,364.0,a,162.0,a,14.2,"a,0713, ",112.8," ,a,0101, ",36.1,"a,0926, ",,,,,,,0.0,0.0,0.0,a,1893.1," ,a",27.3,a,31.6,a,23.0,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1955,3309.0,,3309.0,a,116.0,a,75.0,a,0.0,a,0.0,a,0.0,a,365.0,a,154.0,a,16.3,"a,0705, ",250.2," ,a,0218, ",37.0,"a,1015, ",,,,,,,0.0,0.0,0.0,a,1735.5," ,a",27.9,a,31.9,a,23.8,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1956,3410.8,,3410.8,a,123.0,a,92.0,a,0.0,a,0.0,a,0.0,a,366.0,a,125.0,a,15.6,"a,0702, ",114.6," ,a,0203, ",35.6,"a,1021,+",,,,,,,0.0,0.0,0.0,a,2307.0," ,a",27.3,a,31.4,a,23.3,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1957,3318.1,,3318.1,a,116.0,a,84.0,a,0.0,a,0.0,a,0.0,a,365.0,a,129.0,a,13.9,"a,0816, ",94.5," ,a,0117, ",36.0,"a,1128, ",,,,,,,0.0,0.0,0.0,a,1883.9," ,a",27.3,a,31.5,a,23.1,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1958,3453.6,,3453.6,a,104.0,a,62.0,a,0.0,a,0.0,a,0.0,a,365.0,a,234.0,a,16.3,"a,0702, ",70.9," ,a,0220, ",36.5,"a,1108, ",,,,,,,0.0,0.0,0.0,a,1076.9," ,a",28.1,a,32.6,a,23.6,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1959,3398.7,,3398.7,a,100.0,a,70.0,a,0.0,a,0.0,a,0.0,a,365.0,a,185.0,a,14.8,"a,0629, ",142.7," ,a,0404, ",36.0,"a,1029, ",,,,,,,0.0,0.0,0.0,a,1552.1," ,a",27.4,a,31.9,a,23.0,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1960,3204.9,,3204.9,a,112.0,a,75.0,a,0.0,a,0.0,a,0.0,a,366.0,a,147.0,a,14.2,"a,0628, ",110.5," ,a,0129, ",36.7,"a,1101, ",,,,,,,0.0,0.0,0.0,a,1755.7," ,a",27.1,a,31.5,a,22.6,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1961,3271.9,,3271.9,a,105.0,a,71.0,a,0.0,a,0.0,a,0.0,a,365.0,a,173.0,a,14.7,"a,0718, ",58.2," ,a,0202, ",36.7,"a,1027, ",,,,,,,0.0,0.0,0.0,a,1120.8," ,a",27.2,a,31.8,a,22.7,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1962,3314.9,,3314.9,a,99.0,a,69.0,a,0.0,a,0.0,a,0.0,a,365.0,a,195.0,a,16.1,"a,0730, ",126.2," ,a,0201, ",35.5,"a,1013, ",,,,,,,0.0,0.0,0.0,a,1621.8," ,a",27.8,a,32.1,a,23.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1963,3302.6,,3302.6,a,118.0,a,80.0,a,0.0,a,0.0,a,0.0,a,365.0,a,144.0,a,12.1,"a,0623, ",108.5," ,a,0122, ",36.2,"a,1124, ",,,,,,,0.2,2.0,0.2,a,1333.7," ,a",27.0,a,31.4,a,22.5,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1964,3274.8,,3274.8,a,112.0,a,79.0,a,0.0,a,0.0,a,0.0,a,366.0,a,196.0,a,14.1,"a,0706, ",65.0," ,a,0224, ",36.2,"a,1101, ",,,,,,,0.0,0.0,0.0,a,1703.5," ,a",27.6,a,32.0,a,23.2,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1965,3322.1,,3322.1,a,95.0,a,68.0,a,0.0,a,0.0,a,0.0,a,365.0,a,185.0,a,10.8,"a,0720, ",147.1," ,a,1229, ",35.6,"a,0919, ",,,,,,,0.3,3.0,0.3,a,1554.4," ,a",27.1,a,31.8,a,22.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1966,3274.3,,3274.3,a,109.0,a,75.0,a,0.0,a,0.0,a,0.0,a,365.0,a,185.0,a,14.1,"a,0721, ",65.5," ,a,1114, ",35.8,"a,1022,+",,,,,,,0.0,0.0,0.0,a,1369.6," ,a",27.5,a,32.1,a,23.0,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1967,3179.2,,3179.2,a,104.0,a,76.0,a,0.0,a,0.0,a,0.0,a,365.0,a,176.0,a,13.1,"a,0626, ",102.1," ,a,0120, ",37.0,"a,0929, ",,,,,,,0.0,0.0,0.0,a,1627.3," ,a",27.1,a,31.9,a,22.4,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1968,3323.5,,3323.5,a,139.0,a,93.0,a,0.0,a,0.0,a,0.0,a,366.0,a,167.0,a,15.1,"a,0724, ",134.6," ,a,0225, ",36.7,"a,1026, ",,,,,,,0.0,0.0,0.0,a,2121.2," ,a",27.5,a,31.7,a,23.3,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1969,3413.3,,3413.3,a,102.0,a,81.0,a,,,,,,,,,,,,,155.7," ,a,0206, ",,,,,,,,,,,,,1946.6," ,a",,,,,,,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1970,,,,,98.0,a,74.0,a,0.0,a,0.0,a,0.0,a,364.0,a,252.0,a,13.6,"a,0725, ",88.9," ,a,1008, ",37.2,"a,1016, ",,,,,,,0.0,0.0,0.0,a,1224.4," ,a",28.1,a,32.6,a,23.5,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1971,3284.2,,3284.2,a,114.0,a,81.0,a,0.0,a,0.0,a,0.0,a,365.0,a,156.0,a,14.2,"a,0616, ",129.0," ,a,0131, ",36.8,"a,0830, ",,,,,,,0.0,0.0,0.0,a,1972.5," ,a",27.5,a,31.7,a,23.2,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1972,3411.4,,3411.4,a,110.0,a,76.0,a,0.0,a,0.0,a,0.0,a,366.0,a,203.0,a,15.6,"a,0709, ",129.0," ,a,0302, ",37.0,"a,1115, ",,,,,,,0.0,0.0,0.0,a,1491.5," ,a",27.6,a,32.3,a,23.0,a,ASN00014015,Australia,DARWIN AIRPORT
ASN00014015,"DARWIN AIRPORT, AS",-12.4239,130.8925,30.4,1973,3514.2,,3514.2,a,118.0,a,86.0,a,0.0,a,0.0,a,0.0,a,362.0,a,241.0,a,16.2,"a,0709, ",90.4," ,a,0129, ",37.0,"a,1005, ",,,,,,,0.0,0.0,0.0,a,1666.7," ,a",28.3,a,32.6,a,24.0,a,ASN00014015,Australia,DARWIN AIRPORT
